AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
"29747","3","J1, J19, J21","SS4-30-3.50-L-D-K-TR","SS4-30-3.50-L-D-K / REF-222269-01","SS4","","SS4-30-3_50-L-D","01","P001","","SMT","","","","","","REF-222269-01"
"33668","2","J2, J12","USB A Stacked","0672983090","USB2.0 A Stacked","1.5 A DC","USB A Stacked","01","P001","Yes","THT","","","","","30 V DC","0672983090"
"34577","1","J3","MTJ-88SX1-FSD-PG-L35-M357Y","MTJ-88SX1-FSD-PG-L35-M357Y","RJ45","","MTJ-88SX1-FSD-PG-L35-M357Y","01","P001","","THT","","","","","","MTJ-88SX1-FSD-PG-L35-M357Y"
"33899","1","J6","Power Jack 2.5 mm 90° SMD","Power Jack, 2.5 mm 90° SMD","Power Jack","5 A","PJ-002BH-SMT-TR","01","P001","Yes","SMT","","","","","24 V DC","PJ-002BH-SMT-TR"
"33670","1","J7","HDMI Connector","2086581001","HDMI","0.5 A DC","2086581001","01","P001","Yes","SMT","","","","","40 V DC","2086581001"
"29359","2","J8, J9","ZIF FPC 0.5mm 90°","54548-2271","","","54548-2271","01","P001","","SMT","","","","","","54548-2271"
"24942","1","J15","Stiftleiste 4 Pol. 2,54mm","47053-1000","","","47053-1000","01","P001","Yes","THT","","","","","500 VAC","47053-1000"
"28983","1","J16","PMod 2x6 SMD Host Socket 90°","PMod 2x6 SMD Socket 90°","","","SMH-106-02-L-D-PMOD","01","P001","","SMT","","","","","","SMH-106-02-L-D-TR"
"22328","1","J17","Pin Header 2.54 1Row 3Pins","Stiftleiste gerade 1-reihig 3-polig 11,3 mm Stiftlänge","","","JUMPER2_54-3","01","P001","Yes","THT","","","","","","943-12-003-00"
"28978","1","J20","CLT-106-02-F-D-A-K","CLT-106-02-F-D-A-K-TR   / REF-222271-01","","","CLT-106-02-F-D-A","01","P001","","SMT","","","","","","CLT-106-02-F-D-A-K-TR"
