AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART,Temperature-Range,Storage-Temperature
"34073","5","R16, R32, R41, R50, R55","2R7","WID SMD 2R7 1% 0,063W  BF 1005 (0402)","1005 (0402)","2.7","RESC1005X40N_V","01","MDE-2-A","","SMT","","TK100","1%","","0.063W","","-55/+155 (Abs)",""
"22762","2","R18, R26","330R","WID SMD 330R 1% 0,063W  BF 1005 (0402)","1005 (0402)","330","RESC1005X40N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","0.063W","RC0402FR-13330RL","-55/+155","-"
"23126","6","R22, R33, R42, R51, R56, R58","4K12","WID SMD 4K12 1% 0,063W  BF 1005 (0402)","1005 (0402)","4.12K","RESC1005X40N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","0.063W","","",""
"29714","1","R30","18K2","WID SMD 18K2 1% 0,063W BF 1005 (0402)","1005 (0402)","18.2K","RESC1005X40N_V","01","MDE-2-A","","SMT","","TK100","1%","","0.063W","","",""
"26028","1","R31","6K34","WID SMD 6K34 1% 0,063W  BF 1005 (0402)","1005 (0402)","6.34K","RESC1005X40N_V","01","MDE-2-A","","SMT","","TK100","1%","","0.063W","","",""
"25948","2","R34, R53","4K22","WID SMD 4K22 1% 0,063W  BF 1005 (0402)","1005 (0402)","4.22K","RESC1005X40N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","0.063W","","",""
"33713","1","R35","24K9","WID SMD 24K9 1% 0,063W BF 1005 (0402)","1005 (0402)","24.9K","RESC1005X40N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","0.063W","","",""
"22752","1","R37","1K","WID SMD 1K 1% 0,063W  BF 1005 (0402)","1005 (0402)","1K","RESC1005X40N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","0.063W","RC0402FR-071KL","-55/+155","-"
"29692","1","R39","7K15","WID SMD 7K15 1% 0,063W BF 1005 (0402)","1005 (0402)","7.15K","RESC1005X40N_V","01","MDE-2-A","","SMT","","TK100","1%","","0.063W","","",""
"29047","1","R44","2K1","WID SMD 2K1 1% 0,063W  BF 1005 (0402)","1005 (0402)","2.1K","RESC1005X40N_V","01","MDE-2-A","","SMT","","TK100","1%","","0.063W","","",""
