AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
"31417","5","U16, U21, U44, U58, U59","SN74AXC4T774BQBR","SN74AXC4T774BQBR","WQFN16","","QFN50P350X250X90-17T200X100N","03","P001","Yes","SMT","","","","","","SN74AXC4T774BQBR"
"32679","1","U10","SI5332A-D-GM3","SI5332A-D-GM3, Clock Generator","QFN48","","QFN40P600X600X90-49T360X360N","03","P001","","SMT","","","","","","SI5332A-D-GM3"
"32759","1","U19","MAX31760AEE+T","MAX31760AEE+T","SSOP16","","SOP63P600X175-16L49N","03","P001","Yes","SMT","","","","","3.3 V","MAX31760AEE+T"
"33716","1","U38","USB5734T-I/MR","USB5734T-I/MR","VQFN64","","QFN50P900X900X100-65T600X600N","03","P001","","SMT","","","","","","USB5734T-I/MR"
"33748","1","U1","A5ED065BB32AE4SR0","A5ED065BB32AE4SR0","","","BGA1591C65P40X40_3200X3200X1861","03","P001","","SMT","","","","","","A5ED065BB32AE4SR0"
"33755","2","U54, U56","ADT75ARMZ","ADT75ARMZ","TSSOP8","","SOP65P490X110-8N","03","P001","","SMT","","","","","2.7 V - 5.5 V","ADT75ARMZ"
"33806","7","S1, S2, S3, S4, S5, S6, S11","PTS647SK70SMTR2LFS","PTS647SK70SMTR2LFS, Switch","4.50 mm x 4.50 mm","","PTS647SK70SMTR2LFS","03","P001","","SMT","","","","","12 V DC","PTS647SK70SMTR2LFS"
"33816","2","J4, J28","857931006","857931006, RJ45 Jack","RJ45","","857931006","03","P001","","THT","","","","","","857931006"
"33979","2","MP1, MP2","747548101","747548101","zSFP+ Cage","","74754-0104","03","P001","Yes","MECH","","Press-Fit","","","","747548101"
"TEI0004-02","1","A1","TEI0004 ARROW USB Programmer2","FPGA USB-Programmer2 JTAG (Arrow) für die Entwicklung mit Intel FPGAs","","","","03","P001","","","","","","","","TEI0004-02"
"22738","47","R8, R13, R17, R28, R33, R43, R70, R76, R78, R86, R87, R91, R92, R93, R101, R105, R108, R111, R112, R118, R119, R120, R135, R141, R142, R143, R160, R161, R207, R228, R229, R230, R232, R274, R276, R324, R342, R360, R361, R362, R363, R364, R384, R389, R392, R393, R398","0R","WID SMD 0R  BF 1005 (0402)","1005 (0402)","0","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","","RC0402JR-070RL"
"25184","1","D9","BAV199LT1G","BAV199","SOT23-3","0,215A","SOT95P230X109-3N","03","P001","Yes","SMT","Yes","","","","75V","BAV199"
"30572","2","T6, T7","EM6K34T2CR","EM6K34T2CR","SOT563, SOT666","0.2A","SOT50P160X60-6N","03","P001","","SMT","","N-channel","","","50V","EM6K34T2CR"
"32493","1","L16","0.2uH","IND SMD 0.2uH 15% 50A 0.18mOhm 10.00mm x 7.00mm","10.00mm x 7.00mm","0.2uH","INDM10070X830N","03","P001","","SMT","","0.18mOhm","15%","","50A","VLBS1007083T-R20L"
"30379","1","L9","0.47µH","IND SMD 0.47uH ±10% 7.4A 12.5mOhm Shielded","3.40mm x 3.10mm","0.47u","INDM3431X200N","03","P001","","SMT","","12.5mOhm","10%","","7.4A","SRP0320-R47K"
"33744","2","J30, J32","zSFP+ Connector","170382-0001, zSFP+ Con","zSFP+","0.5 A","1703820002","03","P001","Yes","SMT","","","","","30 V AC(RMS)/DC","170382-0001"
"33670","1","J11","HDMI Connector","2086581001","HDMI","0.5 A DC","2086581001","03","P001","Yes","SMT","","","","","40 V DC","2086581001"
"33669","1","J5","Micro-USB B","473460001","Micro-USB B","1.0 A / 1.8 A","473460001","03","P001","","SMT","","","","","30 V AC (RMS)","473460001"
"27637","6","L22, L23, L32, L47, L48, L49","XAL4020-102MEC","Power Inductor 1µH 20% 9.6A 14.6mOhms","","1µ","IND_XAL4020-102","03","P001","","SMT","","","","","8.7A","XAL4020-102MEC"
"33700","2","U12, U13","MT53E256M32D1KS-046 WT:L","MT53E256M32D1KS-046 WT:L","FBGA200","1GB","BGA200C65X80P22X12_1450X1000X95B44N","03","P001","","SMT","","LPDDR4","","","","MT53E256M32D1KS-046 WT:L"
"28112","8","R12, R22, R42, R177, R214, R223, R266, R283","1K","WID SMD 1K 1% 0,05W  BF 0603 (0201)","0603 (0201)","1K","RESC0603X26N_V","03","P001","","SMT","Yes","TK100","1%","","25V",""
"22757","4","R6, R7, R130, R390","1M","WID SMD 1M 5% 0,25W  BF 3216 (1206)","3216 (1206)","1M","RESC3216X65N_V","03","P001","","SMT","Yes","TK100","5%","","",""
"26536","17","C63, C64, C69, C70, C75, C76, C89, C90, C97, C98, C209, C338, C339, C340, C341, C580, C581","1nF","KON 1nF 6.3V X7R 10% SMD BF 0603 (0201)","0603 (0201)","1n","CAPC0603X33N_V","03","P001","","SMT","Yes","X7R","10%","","6.3V",""
