AN,Quantity,Designator,Name,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
24705,3,"C155, C157, C317",10nF,KON 10nF 50V X7R 10% SMD BF 1005 (0402),1005 (0402),10n,CAPC1005X55N_V,4,G1E13-A,,SMT,Yes,X7R,10%,,50V,
30983,50,"C174, C175, C188, C189, C190, C197, C207, C229, C231, C234, C247, C257, C258, C259, C260, C261, C265, C272, C273, C280, C281, C282, C316, C404, C405, C406, C410, C426, C427, C428, C434, C436, C453, C550, C551, C592, C593, C594, C595, C632, C634, C635, C636, C637, C639, C640, C649, C675, C696, C707",2.2µF,"KON 2,2µF 25V X5R 10% SMD BF 1005 (0402)",1005 (0402),2.2u,CAPC1005X55N_V,4,G1E13-A,,SMT,,X5R,10%,,25V,
28940,34,"C180, C181, C182, C183, C184, C185, C186, C187, C250, C252, C253, C254, C255, C256, C368, C369, C370, C371, C372, C373, C376, C377, C378, C379, C567, C568, C669, C670, C679, C680, C681, C688, C689, C690",100µF,KON 100µF 4V X6S 20% SMD BF 2012 (0805),2012 (0805),100u,CAPC2012X135N_V,4,G1E13-A,,SMT,,X6S,20%,,4V,
29699,4,"C192, C193, C263, C264",4.7µF,KON 4.7µF 25V X5R 20%  SMD BF 1608 (0603),1608 (0603),4.7u,CAPC1608X90N_V,4,G1E13-A,,SMT,Yes,X5R,20%,,25V,
22651,10,"C194, C201, C204, C672, C674, C692, C693, C700, C701, C703",100nF,KON 100nF 50V X7R ±10% SMD BF 1005 (0402),1005 (0402),100n,CAPC1005X55N_V,4,G1E13-A,,SMT,,X7R,10%,,50V,
24885,8,"C246, C271, C279, C402, C403, C424, C425, C435",47pF,KON 47pF 50V NP0 5% SMD BF 1005 (0402),1005 (0402),47p,CAPC1005X55N_V,4,G1E13-A,,SMT,Yes,NP0,5%,,50V,
31290,1,C262,2.7nF,KON 2.7nF 50V NP0 ±2% SMD BF 1005 (0402),1005 (0402),2.7n,CAPC1005X55N_V,4,G1E13-A,,SMT,,NP0,±2%,,50V,
30929,3,"C606, C616, C667",22µF,KON 22µF 10V X5R 20% SMD BF 1608 (0603),1608 (0603),22u,CAPC1608X90N_V,4,G1E13-A,,SMT,,X5R,20%,,10V,
33749,5,"D1, D2, D3, D4, D15",CLY6D-FKC-CK1N1D1BB7D3D3,CLY6D-FKC-CK1N1D1BB7D3D3,PLCC6,RGB,CLY6D-FKC-CK1N1D1BB7D3D3,4,G1E13-A,,SMT,Yes,,,,,CLY6D-FKC-CK1N1D1BB7D3D3
29054,4,"D5, D6, D7, D8",CPDA10R3V3U-HF,TVS/Clamp Diode Array 3.3/9.8V 39.2W 10-UFDFN,TSLP-9-1,39.2W,DFN230X100X55X10N,4,G1E13-A,,SMT,,,,,3.3/9.8V,CPDA10R3V3U-HF
