AN,Quantity,Designator,Name,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
28435,2,"S7, S10",TDA04H0SB1,TDA04H0SB1,,25 mA,TDA04H0SB1,4,G1E13-A,,SMT,,SPST,,,24 V DC,TDA04H0SB1
27449,1,S13,204-214ST,204-214ST,,50mA,SOIC254P1040X950-16L3N,4,G1E13-A,,SMT,,DPST,,,24V DC,204-214ST
29027,4,"T1, T2, T3, T4",SI7106DN-T1-E3,SI7106DN-T1-E3,PowerPAK 1212-8,12.5A,Si7106,4,G1E13-A,,SMT,,,,,20V,SI7106DN-T1-E3
26772,1,T5,BSS138LT1G,BSS138LT1G,SOT23-3,,SOT95P230X109-3N,4,G1E13-A,Yes,SMT,Yes,,,,,BSS138LT1G
30572,2,"T6, T7",EM6K34T2CR,EM6K34T2CR,"SOT563, SOT666",0.2A,SOT50P160X60-6N,4,G1E13-A,,SMT,,N-channel,,,50V,EM6K34T2CR
28043,4,"T8, T9, T10, T11",AO7800,AO7800,SC70-6,0.9A,SOT65P210X110-6N,4,G1E13-A,,SMT,,,,,20V,AO7800
26289,52,"TP1, TP2, TP3, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP19, TP21, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP46, TP47, TP48, TP49, TP50, TP51, TP52, TP53, TP54, TP55, TP56, TP57, TP58, TP59, TP60, TP61",Testpoint 0.8mm,Testpoint 0.8mm,,,TP_0.8mm,4,G1E13-A,,MECH,,,,,,
27481,9,"TP4, TP5, TP16, TP17, TP18, TP20, TP22, TP44, TP45",Testpoint 0.8mm THT,Testpoint 0.8mm TH,,,TP_0.8mm_THT,4,G1E13-A,,,,,,,,
35487,1,U1,A5ED065AB32AE1V,A5ED065AB32AE1V,1591-FBGA,,BGA1591C65P40X40_3200X3200X1861,4,G1E13-A,,SMT,,,,,,A5ED065AB32AE1V
30022,2,"U2, U33",ADIN1300BCPZ,ADIN1300BCPZ,QFN40,,ADIN1300_PCB,4,G1E13-A,,SMT,,,,,,ADIN1300BCPZ
26249,2,"U3, U6",24AA025E48T-I/OT,24AA025E48T-I/OT,SOT23-6,2Kbit,SOT95P280X145-6N,4,G1E13-A,,SMT,,I2C,,,"1,7V/5,5V",24AA025E48T-I/OT
27514,2,"U4, U5",AP2196SG-13,AP2196SG-13,SO8,,SOIC127P600X175-8N,4,G1E13-A,,SMT,,,,,,AP2196SG-13
24840,5,"U7, U9, U25, U36, U44","PRTR5V0U2X,215","PRTR5V0U2X,215",SOT143,,SOT190P229X114-4N,4,G1E13-A,,SMT,Yes,,,,2/6V,"PRTR5V0U2X,215"
24992,1,U8,USB3320C-EZK,USB3320C-EZK,QFN32,,QFN50P500X500X100-33N-345,4,G1E13-A,Yes,SMT,,,,,,USB3320C-EZK
32679,1,U10,SI5332A-D-GM3,"SI5332A-D-GM3, Clock Generator",QFN48,,QFN40P600X600X90-49T360X360N,4,G1E13-A,,SMT,,,,,,SI5332A-D-GM3
27433,1,U11,24AA128T-I/ST,24AA128T-I/ST,TSSOP8,128Kbit,SOP65P640X120-8N-MC,4,G1E13-A,,SMT,,I2C,,,1.7V/5.5V,24AA128T-I/ST
33700,2,"U12, U13",EOL: MT53E256M32D1KS-046 WT:L,EOL : MT53E256M32D1KS-046 WT:L,FBGA200,1GB,BGA200C65X80P22X12_1450X1000X95B44N,4,G1E13-A,,SMT,,LPDDR4,,,,MT53E256M32D1KS-046 WT:L
35276,1,U14,NVT4858HKZ,NVT4858HKZ,QFN16,,NVT4858HKZ,4,G1E13-A,Yes,SMT,,,,,,NVT4858HKZ
27003,2,"U15, U57",TCA9544APWR,TCA9544APWR,TSSOP20,,SOP65P640X120-20N,4,G1E13-A,Yes,SMT,,,,,,TCA9544APWR
31417,4,"U16, U21, U58, U59",SN74AXC4T774BQBR,SN74AXC4T774BQBR,WQFN16,,QFN50P350X250X90-17T200X100N,4,G1E13-A,Yes,SMT,,,,,,SN74AXC4T774BQBR
25923,2,"U17, U18",LTC4365ITS8#TRMPBF,LTC4365ITS8#TRMPBF,TS8,,TSOT-23-8,4,G1E13-A,Yes,SMT,,,,,,LTC4365ITS8#TRMPBF
32759,1,U19,MAX31760AEE+T,MAX31760AEE+T,SSOP16,,SOP63P600X175-16L49N,4,G1E13-A,Yes,SMT,,,,,3.3 V,MAX31760AEE+T
34267,2,"U20, U29",FS1525-0600-A,FS1525-0600-A,6.8 mm x 7.6 mm,25 A,FS1525,4,G1E13-A,,SMT,,,,,,FS1525-0600-A
27269,1,U22,M.2-NGFF-Socket Key M PCIe,M.2 NGFF Socket Connector Key M PCIe,,,M.2-NGFF-Socket-Connector,4,G1E13-A,Yes,SMT,,,,,,1-2199119-5
23099,1,U23,TFP410PAP,TFP410PAP,HTQFP64,,QFP50P1200X1200X120-65N,4,G1E13-A,,SMT,,,,,3.0 V - 3.6 V,TFP410PAP
29426,1,U24,TPD12S016RKTR,TPD12S016RKTR,UFQFN24,,QFN40P400X200X55-24N,4,G1E13-A,,SMT,,,,,,TPD12S016RKTR
31879,2,"U26, U27",MPQ8633BGLE-Z,MPQ8633BGLE-Z,QFN21,,TPS548A28,4,G1E13-A,,SMT,Yes,,,,,MPQ8633BGLE-Z
34122,8,"U28, U31, U46, U47, U48, U50, U64, U65",FS1606-0600-AL,FS1606-0600-A,SMD17,6:00 AM,FS1406,4,G1E13-A,,SMT,,,,,0.6V,FS1606-0600-A 
27997,1,U30,M93C66-RMC6TG,M93C66-RMC6TG,UFDFPN8,4Kbit,UFDFPN8,4,G1E13-A,Yes,SMT,Yes,Microwire,,,1.8V/5.5V,M93C66-RMC6TG
29137,2,"U32, U62",510CCA12M0000CAG,510CCA12M0000CAG,3.2 x 2.5 mm,12M,DFN320X250X110-4N,4,G1E13-A,,SMT,,,,,,510CCA12M0000CAG
34241,3,"U34, U67, U68",FS3303-0400-AL-ES,FS3303-0400-AL-ES,LGA14,3:00 AM,MPM3834C,4,G1E13-A,,SMT,,,,,,FS3303-0400-AL-ES
29130,2,"U35, U41",510CCA25M0000CAG,510CCA25M0000CAG,3.2 x 2.5 mm,25M,DFN320X250X110-4N,4,G1E13-A,,SMT,,,,,,510CCA25M0000CAG
28286,1,U37,MT25QU02GCBB8E12-0SIT,MT25QU02GCBB8E12-0SIT,TFBGA24,2Gbit,BGA24C100P5X5_800X600X120N,4,G1E13-A,,SMT,,NOR,,,1.8V,MT25QU02GCBB8E12-0SIT
33716,1,U38,USB5734T-I/MR,USB5734T-I/MR,VQFN64,,QFN50P900X900X100-65T600X600N,4,G1E13-A,,SMT,,,,,,USB5734T-I/MR
27170,3,"U39, U63, U73",SN74AVC4T774RSVR,SN74AVC4T774RSVR,UQFN-16,,QFN40P260X180X55-16N,4,G1E13-A,Yes,SMT,,,,,,SN74AVC4T774RSVR
35228,2,"U42, U72",D3V3X4U10LP-7,TVS Diode Array 3.3/3V 10-UFDFN,10-XFDFN,,U-DFN2510-10,1,G1E13-A,,SMT,,,,,,D3V3X4U10LP-7
33750,3,"U43, U69, U70",AP22980FCF10-7,AP22980FCF10-7,WFQFN10,6:00 AM,AP22980,4,G1E13-A,,SMT,,,,,,AP22980FCF10-7
25562,1,U45,TCA9517DGK,TCA9517DGKR,MSOP8,,SOP65P490X110-8N,4,G1E13-A,Yes,SMT,,,,,,TCA9517DGKR
29131,3,"U51, U52, U53",510KCA25M0000CAG,510KCA25M0000CAG,3.2 x 2.5 mm,25M,DFN320X250X110-4N,4,G1E13-A,,SMT,,,,,,510KCA25M0000CAG
33755,2,"U54, U56",ADT75ARMZ,ADT75ARMZ,TSSOP8,,SOP65P490X110-8N,4,G1E13-A,,SMT,,,,,2.7 V - 5.5 V,ADT75ARMZ
30964,1,U55,BNX025H01L EMI-Filter,BNX025H01L,SMD4,20A,BNX023-01B,4,G1E13-A,,SMT,,,,,25V,BNX025H01L
28941,1,U61,FT4232H-56Q,FT4232H-56Q,VQFN56,,QFN50P800X800-57T610X610N,4,G1E13-A,Yes,SMT,Yes,,,,,FT4232H-56Q
34306,2,"U66, U71",AP7331-SNG-7,AP7331-SNG-7,UDFN6,0.3 A,AP7331-SNG,4,G1E13-A,,SMT,,,,,,AP7331-SNG-7
29662,1,Y1,LFXTAL055299REEL,LFXTAL055299REEL,XTAL 3.20mm x 2.50mm,25 MHz,OSCCC320X250X80N,4,G1E13-A,,SMT,,,±20ppm,,,LFXTAL055299REEL
